id,shortname,fullname,language,type,category1,category2,edition,date,budget_pillar_I,budget_pillar_II,budget_pillar_III,budget_other,sum,duration
2,KTC 6 Induction Course,KTC 6 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
7,KTC 7 Induction Course,KTC 7 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
10,Refresher Training,Refresher Training,Real Time Training Resources,vLearning,,,,,,,,,,12
11,FEPC_En_1,FMD Emergency Preparation Course,English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,7/1/2013 0:00,PI,,,,PI,12
12,KTC 8 Induction Course,KTC 8 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
13,KTC 9 Induction Course,KTC 9 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
18,Pr??paration d'Urgence Contre la Fi??vre Aphteuse,Preparation d'Urgence Contre la Fievre Aphteuse,French,vLearning,,,,,,,,,,12
20,NTC 14 Induction Course,NTC 14 Induction Course,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
21,NTC 15 Induction Course,NTC 15 Induction Course,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
22,FMD Modeling SK,Disease Spread Modeling:  Introduction to a tool for improved FMD contingency planning SK Archived version,Administration,vLearning,,,,,,,,,,12
25,Introduction to Biostatistics,Introduction to Biostatistics,Epidemiology,vLearning,,,,,,,,,,12
28,NTC 16 Induction Course,NTC 16 Induction Course,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
29,NTC 17 Induction Course,NTC 17 Induction Course,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
30,Resources for Thrace and Balkans Regions,Resources for Thrace and Balkans Regions,Regional Networks,vLearning,,,,,,,,,,12
31,KTC 10 Induction Course,KTC 10 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
33,KTC 11 Induction Course,KTC 11 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
34,KTC 12 Induction Course,KTC 12 Induction Course,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
36,Erzurum Real Time Training,Erzurum Real Time Training,Erzurum Real Time Training,vLearning,,,,,PI,,,,PI,10
38,NTC 18 Induction Course,NTC 18 Induction Course,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
39,KTC 13 Real Time Training,KTC 13 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
42,Modelling Introductory Course ,Modelling Introductory Course: September 2015,Workshop Induction Courses,vLearning,,,,,,,,,,12
43,KTC 14 Real Time Training,KTC 14 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
44,KTC 15 Real Time Training,KTC 15 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
48,NTC 19 Real Time Training,NTC 19 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
49,NTC 20 Real Time Training,NTC 20 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
52,Refresher Training NTC 16-17-18,Refresher Training NTC 16-17-18,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
53,FEPC_Ru_1,??•ü•?•Å ?®?? ??????????•????˝?ß?Ê ?ß ???ß•Å•?•??Ê?´?´???? ?≠??•?•ü?¯•????? ?®?? •è•?•ü•?•ü,Russian,vLearning,FMD Emergency Preparation Course,FEPC for Russia,,,,PII,,,PII,12
55,NTC 21 Real Time Training,NTC 21 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
56,FEPC_En_2,FMD Emergency Preparation Course (En2),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
57,FEPC_Ko_1,àÊ™çˇ?ç?? à??à?? â??çù? à?¨çˇ?,Korean,vLearning,FMD Emergency Preparation Course,FEPC for Korea,,,,,,other,other,12
59,Refresher Course KTC 10_11_12,Real Time Training Refresher Course KTC 10 11 12,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
60,FEPC_UK,FMD Emergency Preparation Course UK,English,vLearning,FMD Emergency Preparation Course,FEPC for UK,,,PI,,,,PI,12
62,KTC 16 Real Time Training,KTC 16 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
63,KTC 17 Real Time Training,KTC 17 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
65,FEPC_SR_HR,Pripremni kurs za hitne mere u sluéçaju pojave slinavke i è≠apa,"Serbian, Croatian",vLearning,FMD Emergency Preparation Course,FEPC for Serbia,,,PI,,,,PI,12
66,FEPC_Algerie,Cours de pr??paration d'urgence contre la fi??vre aphteuse pour l'Algerie,French,vLearning,FMD Emergency Preparation Course,FEPC for Algeria,,,,PII,,,PII,12
67,Spanish,Spanish,Spanish,vLearning,,,,,PI,,,,PI,12
68,FEPC_ES,Curso de Preparaci??n para Alertas de Fiebre Aftosa en Espa?Òa,Spanish,vLearning,FMD Emergency Preparation Course,FEPC for Spain,,,PI,,,,PI,12
69,NTC 22 Real Time Training,NTC 22 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
72,Sweden_NTC,Sweden Cascade Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
73,Practical Epidemiology Training in Turkey,Practical Epidemiology Training in Turkey,Epidemiology,vLearning,,,,,,,,,,12
74,FEPC_En_3,FMD Emergency Preparation Course (En3),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
75,NTC 23 Germany Real Time Training,NTC 23 Germany Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
76,FEPC_AU1,FMD Emergency Preparation Course for Australia,English,vLearning,FMD Emergency Preparation Course,,,,,,,other,other,12
77,FEPC_ES2,Curso de Preparaci??n para Alertas de Fiebre Aftosa en Espa?Òa (2),Spanish,vLearning,FMD Emergency Preparation Course,FEPC for Spain,,,PI,,,,PI,12
78,KTC 18 Real Time Training,KTC 18 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
79,KTC 19 Real Time Training,KTC 19 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
80,FEPC_En_4,FMD Emergency Preparation Course (En4),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
84,NTC 24 Real Time Training,NTC 24 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
85,FEPC_En_5,FMD Emergency Preparation Course (En5),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
86,Afrique du Nord,Les R??seaux de lÉ??Afrique du Nord / North Africa Regional Network,Regional Networks,vLearning,,,,,,,,,,12
88,FEPC_FRA1,Enseignement en ligne sur la d??tection pr??coce de la fi??vre aphteuse,French,vLearning,FMD Emergency Preparation Course,FEPC for France,,,PI,,,,PI,12
89,FEPC_UK_2,FMD Emergency Preparation Course UK (UK2),English,vLearning,FMD Emergency Preparation Course,FEPC for UK,,,PI,,,,PI,12
90,Managing a Crisis,Managing a Crisis: September 2016,Workshop Induction Courses,vLearning,,,,,,,,,,12
91,PCP_Pioneers,PCP Pioneers,Progressive Control Pathway,vLearning,,,,,,,,,,12
92,FEPC_EE,SST eriolukorraks valmistumise kursus Eestis,Estonian,vLearning,FMD Emergency Preparation Course,FEPC for Estonia,,,PI,,,,PI,12
93,FMD Emergency Preparation Course LinkTADs,FMD Emergency Preparation Course LinkTADs,English,vLearning,FMD Emergency Preparation Course,,,,,,,,,12
96,Modelling Introductory Course: November 2016,Modelling Introductory Course: November 2016,Workshop Induction Courses,vLearning,,,,,,,,,,12
97,KTC 20 Real Time Training,KTC 20 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
98,NTC 25 Real Time Training,NTC 25 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
100,KTC 22 Real Time Training,KTC 22 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
101,FEPC_FR_Ocean Indien,Cours en ligne de pr??paration dÉ??urgence contre la fi??vre aphteuse pour lÉ??ocean indien,French,vLearning,FMD Emergency Preparation Course,,,,,,PIII,,PIII,12
103,KTC 21 Real Time Training,KTC 21 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
104,Workshop Portugal October 2016,PCP Workshop Portugal October 2016,Progressive Control Pathway,vLearning,,,,,,,,,,12
106,FITC_Southern Africa,FMD Investigation Training for Southern Africa,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
107,KTC Nepal ,KTC Training Alumni Page,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
108,CTC_1,Real Time FMD Training in Egypt,Cairo Real Time Training,vLearning,,,,,,,,,,12
109,FEPC_En_6,FMD Emergency Preparation Course (En6),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
110,NTC 26 Real Time Training,NTC 26 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
111,Progressive Control Practitioners' Network,Progressive Control Practitioners' Network,Networks,vLearning,,,,,PI,PII,PIII,,PIPIIPIII,12
112,Introduction to the Progressive Control Pathway v1,Introduction to the Progressive Control Pathway ARCHIVED,Progressive Control Pathway,vLearning,,,,,,,,,,12
113,Biorisk_Management_Network,BioRisk Management Network,Networks,vLearning,,,,,,,,,,12
116,Reseau francophone,R??seau francophone pour le contr??le de la fi??vre aphteuse,Networks,vLearning,,,,,,PII,,,PII,12
117,Simulation Exercise Workshop: February 2017,Simulation Exercises for Foot-and-Mouth Disease: February 2017,Workshop Induction Courses,vLearning,,,,,,,,,,12
118,Introduction to Foot-and-Mouth Disease,Introduction to Foot-and-Mouth Disease,Open Access Courses,vLearning,,,,,PI,PII,PIII,,PIPIIPIII,12
119,Putting Vaccination into Practice,Putting Vaccination into Practice: March 2017,Workshop Induction Courses,vLearning,,,,,,PII,PIII,,PIIPIII,12
121,FEPC_RS,Kurs za hitne mere u sluéçaju pojave slinavke i è≠apa u Republici Srbiji,Serbian,vLearning,FMD Emergency Preparation Course,FEPC for Serbia,,,PI,,,,PI,12
122,What is the Progressive Control Pathway? v 1,What is the Progressive Control Pathway? ARCHIVED,Progressive Control Pathway,vLearning,,,,,PI,PII,PIII,,PIPIIPIII,12
123,KTC 23 Real Time Training,KTC 23 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
124,KTC 24 Real Time Training,KTC 24 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
125,FITC_SAARC,FMD Investigation Training Course for South Asia,FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
126,Socio-economic,Foot-and-Mouth Disease Socio-economic Impact Assessment ,In-Depth Courses,vLearning,In-Depth Courses,SE Impact,,,,PII,PIII,,PIIPIII,24
127,FEPC_En_7,FMD Emergency Preparation Course (En7),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
128,RBS,Risk-Based Surveillance for Foot-and-Mouth Disease,Workshop Induction Courses,vLearning,,,,,,,,,,12
129,FEPC_FRA2,Formation en ligne sur la d??tection pr??coce de la fi??vre aphteuse (FRA2),French,vLearning,FMD Emergency Preparation Course,FEPC for France,,,PI,,,,PI,12
130,FEPC_ES3,Curso de Preparaci??n para Alertas de Fiebre Aftosa en Espa?Òa (3),Spanish,vLearning,FMD Emergency Preparation Course,FEPC for Spain,,,PI,,,,PI,12
131,THRACE_T_E,THRACE Foot-and-Mouth Disease Training and Exercise,Workshop Induction Courses,vLearning,,,,,PI,,,,PI,12
132,FITC_Turkey,T?¨rkiye i??in ??evrimi??i è?ap HastaléÒé?éÒ Araè?téÒrma Eé?itim Kursu,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
133,FITC_AR,?????Ò?? ?¶???Ò???????? ?????¶?????? ???? ???™???? ???Ò?? ?????????? ????????????????,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
134,South Eastern Europe Discussion Group,South Eastern Europe Discussion Group,Discussion Groups,vLearning,,,,,,,,,,12
135,RAVC,Foot-and-Mouth Disease Risk Analysis Along the Value Chain,In-Depth Courses,vLearning,In-Depth Courses,RAVC,,,,PII,PIII,,PIIPIII,24
136,FEPC_AU2,FMD Emergency Preparation Course for Australia ,English,vLearning,FMD Emergency Preparation Course,,,,,,,other,other,12
139,PVM,Post Vaccination Monitoring,In-Depth Courses,vLearning,In-Depth Courses,PVM,,,,PII,PIII,,PIIPIII,12
140,Outbreak Investigation Leaders,Outbreak Investigation Leaders,Outbreak Investigation in Mongolia,vLearning,,,,,,,,,,12
141,FLITC,FMD Laboratory Investigation Training Course,FMD Laboratory Investigation Training Course,vLearning,,,,,,PII,PIII,,PIIPIII,12
142,KTC 25 Real Time Training,KTC 25 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
143,KTC 26 Real Time Training,KTC 26 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
144,FITC_Ru2,?ú•??Ê?Ò?´•??? ?ß•ü•?•Å ?®?? ???˙•ü•??Ê?´??•? ??•?•ü•??¯ ?´?¯ •?•ü•Å•Å?ß???¨ •è?˙•??ß?Ê,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
145,NTC 27 Real Time Training,NTC 27 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
146,NTC 28 Real Time Training,NTC 28 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
147,EuFMDIS,Development and Application of a European Foot-and-Mouth Disease Spread Model,Discussion Groups,vLearning,,,,,,,,,,12
148,FEPC_Caribbean,FMD Emergency Preparation Course for the Caribbean Region,Spanish,vLearning,FMD Emergency Preparation Course,FEPC for Caribbean,,,,,,other,other,12
149,FEPC_UK3,FMD Emergency Preparation Course for the UK (UK3),English,vLearning,FMD Emergency Preparation Course,FEPC for UK,,,PI,,,,PI,13
150,NTC 29 Real Time Training,NTC 29 Real Time Training,Nakuru Real Time Training,vLearning,,,,,PI,,,,PI,10
151,THRACE Disease Reporting Training,THRACE Disease Reporting Training,Workshop Induction Courses,vLearning,,,,,,,,,,12
152,KTC 27 Real Time Training,KTC 27 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
153,Managing a Crisis: March 2018,Managing a Crisis: March 2018,Workshop Induction Courses,vLearning,,,,,,,,,,12
154,PVM2,Post Vaccination Monitoring (PVM2),In-Depth Courses,vLearning,In-Depth Courses,PVM,,,,PII,PIII,,PIIPIII,12
155,KTC 28 Real Time Training,KTC 28 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
156,FITC_TR2,T?¨rk??e ??evrimi??i è?ap HastaléÒé?éÒ Araè?téÒrma Eé?itim Kursu 2,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
157,Safe Trade and FMD Control Workshop,Safe Trade and FMD Control Workshop,Safe Trade,vLearning,,,,,,,,,,12
158,Atelier Mali,Atelier pour le diagnostic de terrain de la fi??vre aphteuse - Mali,Real Time Training,vLearning,,,,,,,,,,12
159,Wildlife Surveillance May 2018,Foot-and-Mouth Disease Wildlife Surveillance,Workshop Induction Courses,vLearning,,,,,,,,,,12
160,FEPC_ES4, Curso de Preparaci??n para Alertas de Fiebre Aftosa en Espa?Òa (4),Spanish,vLearning,FMD Emergency Preparation Course,FEPC for Spain,,,PI,,,,PI,13
161,FEPC_FRA3,Formation en ligne sur la d??tection pr??coce de la fi??vre aphteuse (FRA3),French,vLearning,FMD Emergency Preparation Course,FEPC for France,,,PI,,,,PI,12
162,Modelling 2018,Modelling Training Course for Spain,Workshop Induction Courses,vLearning,,,,,,,,,,12
164,FEPC_En_8,FMD Emergency Preparation Course (En8),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
166,RAVC_2,Foot-and-Mouth Disease Risk Analysis along the Value Chain (2),In-Depth Courses,vLearning,,,,,,PII,PIII,,PIIPIII,12
167,FEPC_RS_2, Kurs za hitne mere u sluéçaju pojave slinavke i è≠apa u Republici Srbiji 2,Serbian,vLearning,FMD Emergency Preparation Course,FEPC for Serbia,,,PI,,,,PI,12
168,FITC_SAARC2,FMD Investigation Training Course for South Asia (FITC 2),FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
169,FITC_NCW_Africa,Formation en ligne dÉ??investigations sur la fi??vre aphteuse,FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
171,FMD and Containment Zones,Foot-and-Mouth Disease and Containment Zones,Safe Trade,vLearning,,,,,PI,,,,PI,12
172,FEPC_EN9,FMD Emergency Preparation Course (EN9),English,vLearning,FMD Emergency Preparation Course,FEPC for Member States,,,PI,,,,PI,12
173,SimEx_Nov2018,Simulation Exercises for Foot-and-Mouth Disease: November 2018,Workshop Induction Courses,vLearning,,,,,PI,,,,PI,12
174,What is the Progressive Control Pathway?,What is the Progressive Control Pathway?,Open Access Courses,vLearning,,,,,PI,PII,PIII,,PIPIIPIII,12
175,Introduction to the Progressive Control Pathway,Introduction to the Progressive Control Pathway,Open Access Courses,vLearning,,,,,PI,PII,PIII,,PIPIIPIII,12
176,FEPC_AU3,FMD Emergency Preparation Course for Australia (AU3),English,vLearning,FMD Emergency Preparation Course,,,,,,,other,other,12
177,KTC 29 Real Time Training,KTC 29 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
179,KTC 30 Real Time Training,KTC 30 Real Time Training,Kathmandu Real Time Training,vLearning,,,,,PI,,,,PI,10
180,FITC_Ar2,2 ?????????Ò?? ?????¶???Ò???????? ?????¶???Ò?? ???? ???Ò?? ?????????? ????????????????,FMD Investigation Training Course,vLearning,,,,,,PII,,,PII,12
182,FITC_EAfrica,FMD Investigation Training Course for East Africa,FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
183,FITC_WC_Africa_Fr1,Formation en ligne dÉ??investigations sur la fi??vre aphteuse pour l'Afrique de l'Ouest et Centrale,FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
184,Wildlife Surveillance Spain,Foot-and-Mouth Disease Wildlife Surveillance in Spain,Workshop Induction Courses,vLearning,,,,,PI,,,,PI,12
185,Emergency Vaccination 2019,Putting Vaccination Into Practice - March 2019,Workshop Induction Courses,vLearning,,,,,,PII,PIII,,PIIPIII,12
186,FITC_India,FMD Investigation Training Course for India,FMD Investigation Training Course,vLearning,,,,,,,PIII,,PIII,12
187,Mbarara Outbreak Investigation Training,Lyantonde Outbreak Investigation Training,Uganda Real Time Training,vLearning,,,,,,,PIII,,PIII,12
190,UTC1,Uganda Real Time Training 1,Uganda Real Time Training,vLearning,,,,,PI,,,,PI,10
